date_day,tot
2020-01-01,0
2020-01-02,1
2020-01-03,2
2020-01-04,3
2020-01-05,4
2020-01-06,5
2020-01-07,6
2020-01-08,7
2020-01-09,8
2020-01-10,9
2020-01-11,10
2020-01-12,11
2020-01-13,12
2020-01-14,13
2020-01-15,14
2020-01-16,15
2020-01-17,16
2020-01-18,17
2020-01-19,18
2020-01-20,19
2020-01-21,20
2020-01-22,21
2020-01-23,22
2020-01-24,23
2020-01-25,24
2020-01-26,25
2020-01-27,26
2020-01-28,27
2020-01-29,28
2020-01-30,29
2020-01-31,30
2020-02-01,31
2020-02-02,32
2020-02-03,33
2020-02-04,34
2020-02-05,35
2020-02-06,36
2020-02-07,37
2020-02-08,38
2020-02-09,39
2020-02-10,40
2020-02-11,41
2020-02-12,42
2020-02-13,43
2020-02-14,44
2020-02-15,45
2020-02-16,46
2020-02-17,47
2020-02-18,48
2020-02-19,49
2020-02-20,50
2020-02-21,51
2020-02-22,52
2020-02-23,53
2020-02-24,54
2020-02-25,55
2020-02-26,56
2020-02-27,57
2020-02-28,58
2020-02-29,59
2020-03-01,60
2020-03-02,61
2020-03-03,62
2020-03-04,63
2020-03-05,64
2020-03-06,65
2020-03-07,66
2020-03-08,67
2020-03-09,68
2020-03-10,69
2020-03-11,70
2020-03-12,71
2020-03-13,72
2020-03-14,73
2020-03-15,74
2020-03-16,75
2020-03-17,76
2020-03-18,77
2020-03-19,78
2020-03-20,79
2020-03-21,80
2020-03-22,81
2020-03-23,82
2020-03-24,83
2020-03-25,84
2020-03-26,85
2020-03-27,86
2020-03-28,87
2020-03-29,88
2020-03-30,89
2020-03-31,90
2020-04-01,91
2020-04-02,92
2020-04-03,93
2020-04-04,94
2020-04-05,95
2020-04-06,96
2020-04-07,97
2020-04-08,98
2020-04-09,99
2020-04-10,100
2020-04-11,101
2020-04-12,102
2020-04-13,103
2020-04-14,104
2020-04-15,105
2020-04-16,106
2020-04-17,107
2020-04-18,108
2020-04-19,109
2020-04-20,110
2020-04-21,111
2020-04-22,112
2020-04-23,113
2020-04-24,114
2020-04-25,115
2020-04-26,116
2020-04-27,117
2020-04-28,118
2020-04-29,119
2020-04-30,120
2020-05-01,121
2020-05-02,122
2020-05-03,123
2020-05-04,124
2020-05-05,125
2020-05-06,126
2020-05-07,127
2020-05-08,128
2020-05-09,129
2020-05-10,130
2020-05-11,131
2020-05-12,132
2020-05-13,133
2020-05-14,134
2020-05-15,135
2020-05-16,136
2020-05-17,137
2020-05-18,138
2020-05-19,139
2020-05-20,140
2020-05-21,141
2020-05-22,142
2020-05-23,143
2020-05-24,144
2020-05-25,145
2020-05-26,146
2020-05-27,147
2020-05-28,148
2020-05-29,149
2020-05-30,150
2020-05-31,151
2020-06-01,152
2020-06-02,153
2020-06-03,154
2020-06-04,155
2020-06-05,156
2020-06-06,157
2020-06-07,158
2020-06-08,159
2020-06-09,160
2020-06-10,161
2020-06-11,162
2020-06-12,163
2020-06-13,164
2020-06-14,165
2020-06-15,166
2020-06-16,167
2020-06-17,168
2020-06-18,169
2020-06-19,170
2020-06-20,171
2020-06-21,172
2020-06-22,173
2020-06-23,174
2020-06-24,175
2020-06-25,176
2020-06-26,177
2020-06-27,178
2020-06-28,179
2020-06-29,180
2020-06-30,181
2020-07-01,182
2020-07-02,183
2020-07-03,184
2020-07-04,185
2020-07-05,186
2020-07-06,187
2020-07-07,188
2020-07-08,189
2020-07-09,190
2020-07-10,191
2020-07-11,192
2020-07-12,193
2020-07-13,194
2020-07-14,195
2020-07-15,196
2020-07-16,197
2020-07-17,198
2020-07-18,199
2020-07-19,200
2020-07-20,201
2020-07-21,202
2020-07-22,203
2020-07-23,204
2020-07-24,205
2020-07-25,206
2020-07-26,207
2020-07-27,208
2020-07-28,209
2020-07-29,210
2020-07-30,211
2020-07-31,212
2020-08-01,213
2020-08-02,214
2020-08-03,215
2020-08-04,216
2020-08-05,217
2020-08-06,218
2020-08-07,219
2020-08-08,220
2020-08-09,221
2020-08-10,222
2020-08-11,223
2020-08-12,224
2020-08-13,225
2020-08-14,226
2020-08-15,227
2020-08-16,228
2020-08-17,229
2020-08-18,230
2020-08-19,231
2020-08-20,232
2020-08-21,233
2020-08-22,234
2020-08-23,235
2020-08-24,236
2020-08-25,237
2020-08-26,238
2020-08-27,239
2020-08-28,240
2020-08-29,241
2020-08-30,242
2020-08-31,243
2020-09-01,244
2020-09-02,245
2020-09-03,246
2020-09-04,247
2020-09-05,248
2020-09-06,249
2020-09-07,250
2020-09-08,251
2020-09-09,252
2020-09-10,253
2020-09-11,254
2020-09-12,255
2020-09-13,256
2020-09-14,257
2020-09-15,258
2020-09-16,259
2020-09-17,260
2020-09-18,261
2020-09-19,262
2020-09-20,263
2020-09-21,264
2020-09-22,265
2020-09-23,266
2020-09-24,267
2020-09-25,268
2020-09-26,269
2020-09-27,270
2020-09-28,271
2020-09-29,272
2020-09-30,273
2020-10-01,274
2020-10-02,275
2020-10-03,276
2020-10-04,277
2020-10-05,278
2020-10-06,279
2020-10-07,280
2020-10-08,281
2020-10-09,282
2020-10-10,283
2020-10-11,284
2020-10-12,285
2020-10-13,286
2020-10-14,287
2020-10-15,288
2020-10-16,289
